Desglose Geográfico,Desglose por sexo,edad_agrupada,Nombre de medidas,Todas las causas,Prom. Número de registros,Valores de medidas
Nacional,Ambos Sexos,65 a 69,Ai**,Todas las causas no excluídas,1,0.507621172
Nacional,Ambos Sexos,60 a 64,Ai**,Todas las causas no excluídas,1,0.516979738
Nacional,Ambos Sexos,55 a 59,Ai**,Todas las causas no excluídas,1,0.522417594
Nacional,Ambos Sexos,50 a 54,Ai**,Todas las causas no excluídas,1,0.518891734
Nacional,Ambos Sexos,45 a 49,Ai**,Todas las causas no excluídas,1,0.514063344
Nacional,Ambos Sexos,40 a 44,Ai**,Todas las causas no excluídas,1,0.527261719
Nacional,Ambos Sexos,35 a 39,Ai**,Todas las causas no excluídas,1,0.516591859
Nacional,Ambos Sexos,30 a 34,Ai**,Todas las causas no excluídas,1,0.508308625
Nacional,Ambos Sexos,25 a 29,Ai**,Todas las causas no excluídas,1,0.50587025
Nacional,Ambos Sexos,20 a 24,Ai**,Todas las causas no excluídas,1,0.525142828
Nacional,Ambos Sexos,15 a 19,Ai**,Todas las causas no excluídas,1,0.565665125
Nacional,Ambos Sexos,10 a 14,Ai**,Todas las causas no excluídas,1,0.548098219
Nacional,Ambos Sexos,5 a 9,Ai**,Todas las causas no excluídas,1,0.497374062
Nacional,Ambos Sexos,1 a 4,Ai**,Todas las causas no excluídas,1,0.366256477
Nacional,Ambos Sexos,Menor de 1,Ai**,Todas las causas no excluídas,1,0.132371422
