año,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_diabetes,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_diabetes
2021,hombre,-,-,cdmx,-,-,-,,,,
2021,hombre,-,-,sur,-,-,-,,,,
2021,mujer,-,-,norte ,-,-,-,,,,
2021,mujer,-,-,centro,-,-,-,,,,
2021,mujer,-,-,cdmx,-,-,-,,,,
2021,mujer,-,-,sur,-,-,-,,,,
2021,hombre,-,-,-,primaria o menos ,-,-,,,,
2021,hombre,-,-,-,secundaria,-,-,,,,
2021,hombre,-,-,-,media,-,-,,,,
2021,hombre,-,-,-,superior,-,-,,,,
2021,mujer,-,-,-,primaria o menos ,-,-,,,,
2021,mujer,-,-,-,secundaria,-,-,,,,
2021,mujer,-,-,-,media,-,-,,,,
2021,mujer,-,-,-,superior,-,-,,,,
2021,hombre,-,-,-,-,bajo,-,,,,
2021,hombre,-,-,-,-,medio,-,,,,
2021,hombre,-,-,-,-,alto,-,,,,
2021,mujer,-,-,-,-,bajo,-,,,,
2021,mujer,-,-,-,-,medio,-,,,,
2021,mujer,-,-,-,-,alto,-,,,,
2021,hombre,-,-,-,-,-,no,,,,
2021,hombre,-,-,-,-,-,si,,,,
2021,mujer,-,-,-,-,-,no,,,,
2021,mujer,-,-,-,-,-,si,,,,
2022,-,-,-,-,-,-,-,12.8,10.7,15.4,9658000
2022,hombre,-,-,-,-,-,-,11.5,8.6,15.2,4173000
2022,mujer,-,-,-,-,-,-,14.1,11.5,17.2,5485000
2022,-,20-39,-,-,-,-,-,,,,
2022,-,40-59,-,-,-,-,-,14.6,10.7,19.8,3957000
2022,-,60+,-,-,-,-,-,30.3,23.7,37.7,4952000
2022,-,-,rural,-,-,-,-,9.6,6.9,13.2,1463000
2022,-,-,urbano,-,-,-,-,13.7,11.1,16.8,8194000
2022,-,-,-,norte ,-,-,-,,,,
2022,-,-,-,centro,-,-,-,,,,
2022,-,-,-,cdmx,-,-,-,,,,
2022,-,-,-,sur,-,-,-,,,,
2022,-,-,-,-,primaria o menos ,-,-,,,,
2022,-,-,-,-,secundaria,-,-,,,,
2022,-,-,-,-,media,-,-,,,,
2022,-,-,-,-,superior,-,-,,,,
2022,-,-,-,-,-,bajo,-,9.3,7.1,12.2,1984000
2022,-,-,-,-,-,medio,-,13.4,10.2,17.3,3496000
2022,-,-,-,-,-,alto,-,15,11,20.3,4177000
2022,-,-,-,-,-,-,no,10.9,8.8,13.4,7268000
2022,-,-,-,-,-,-,si,28.1,21.5,35.8,2389000
2022,hombre,20-39,-,-,-,-,-,,,,
2022,hombre,40-59,-,-,-,-,-,13.4,8.1,21.2,1703000
2022,hombre,60+,-,-,-,-,-,28,18.9,39.5,2106000
2022,mujer,20-39,-,-,-,-,-,,,,
2022,mujer,40-59,-,-,-,-,-,15.8,11.2,21.8,2253000
2022,mujer,60+,-,-,-,-,-,32.2,24.7,40.6,2846000
2022,hombre,-,rural,-,-,-,-,7.2,4.7,10.9,554000
2022,hombre,-,urbano,-,-,-,-,12.6,9.1,17.4,3619000
2022,mujer,-,rural,-,-,-,-,12,8.1,17.4,909000
2022,mujer,-,urbano,-,-,-,-,14.6,11.5,18.3,4576000
2022,hombre,-,-,norte ,-,-,-,,,,
2022,hombre,-,-,centro,-,-,-,,,,
2022,hombre,-,-,cdmx,-,-,-,,,,
