año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_diagnostico_de_hipertension,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_hipertension
2020,estratificado,mujer,-,-,centro,-,-,-,,,,
2020,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2020,estratificado,mujer,-,-,sur,-,-,-,,,,
2020,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2020,estratificado,hombre,-,-,-,media,-,-,,,,
2020,estratificado,hombre,-,-,-,superior,-,-,,,,
2020,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2020,estratificado,mujer,-,-,-,media,-,-,,,,
2020,estratificado,mujer,-,-,-,superior,-,-,,,,
2020,estratificado,hombre,-,-,-,-,bajo,-,,,,
2020,estratificado,hombre,-,-,-,-,medio,-,,,,
2020,estratificado,hombre,-,-,-,-,alto,-,,,,
2020,estratificado,mujer,-,-,-,-,bajo,-,,,,
2020,estratificado,mujer,-,-,-,-,medio,-,,,,
2020,estratificado,mujer,-,-,-,-,alto,-,,,,
2020,estratificado,hombre,-,-,-,-,-,no,,,,
2020,estratificado,hombre,-,-,-,-,-,si,,,,
2020,estratificado,mujer,-,-,-,-,-,no,,,,
2020,estratificado,mujer,-,-,-,-,-,si,,,,
2021,nacional ,-,-,-,-,-,-,-,17.4,16.4,18.6,12524000
2021,estratificado,hombre,-,-,-,-,-,-,16.3,14.7,18.0,5199000
2021,estratificado,mujer,-,-,-,-,-,-,18.4,17.0,19.8,7324000
2021,estratificado,-,20-39,-,-,-,-,-,4.7,3.8,5.8,1491000
2021,estratificado,-,40-59,-,-,-,-,-,19.4,17.6,21.3,4902000
2021,estratificado,-,60+,-,-,-,-,-,42.0,39.1,45.0,6130000
2021,estratificado,-,-,rural,-,-,-,-,14.4,12.4,16.6,2226000
2021,estratificado,-,-,urbano,-,-,-,-,18.3,17.0,19.6,10297000
2021,estratificado,-,-,-,norte ,-,-,-,17.7,15.5,20.2,2541000
2021,estratificado,-,-,-,centro,-,-,-,17.7,16.0,19.5,5140000
